name,dis,freq,fga,eFG
Russell Westbrook,0-2 Feet,0.23,335,0.437
Russell Westbrook,2-4 Feet,0.42,612,0.431
Russell Westbrook,4-6 Feet,0.254,371,0.457
Russell Westbrook,6+ Feet,0.096,140,0.618
James Harden,0-2 Feet,0.174,251,0.422
James Harden,2-4 Feet,0.432,623,0.502
James Harden,4-6 Feet,0.297,428,0.533
James Harden,6+ Feet,0.098,141,0.66
LaMarcus Aldridge,0-2 Feet,0.172,242,0.459
LaMarcus Aldridge,2-4 Feet,0.371,521,0.492
LaMarcus Aldridge,4-6 Feet,0.275,386,0.412
LaMarcus Aldridge,6+ Feet,0.183,257,0.564
Damian Lillard,0-2 Feet,0.152,206,0.432
Damian Lillard,2-4 Feet,0.379,514,0.522
Damian Lillard,4-6 Feet,0.311,422,0.514
Damian Lillard,6+ Feet,0.157,213,0.533
Monta Ellis,0-2 Feet,0.115,156,0.522
Monta Ellis,2-4 Feet,0.394,533,0.456
Monta Ellis,4-6 Feet,0.331,448,0.488
Monta Ellis,6+ Feet,0.16,216,0.461
Stephen Curry,0-2 Feet,0.115,152,0.477
Stephen Curry,2-4 Feet,0.363,480,0.576
Stephen Curry,4-6 Feet,0.316,417,0.612
Stephen Curry,6+ Feet,0.206,272,0.675
Klay Thompson,0-2 Feet,0.126,162,0.494
Klay Thompson,2-4 Feet,0.439,564,0.476
Klay Thompson,4-6 Feet,0.293,377,0.651
Klay Thompson,6+ Feet,0.142,183,0.667
LeBron James,0-2 Feet,0.151,191,0.565
LeBron James,2-4 Feet,0.378,477,0.512
LeBron James,4-6 Feet,0.331,418,0.523
LeBron James,6+ Feet,0.139,175,0.583
Kyrie Irving,0-2 Feet,0.224,272,0.518
Kyrie Irving,2-4 Feet,0.43,522,0.492
Kyrie Irving,4-6 Feet,0.239,290,0.581
Kyrie Irving,6+ Feet,0.108,131,0.607
Nikola Vucevic,0-2 Feet,0.239,285,0.467
Nikola Vucevic,2-4 Feet,0.356,424,0.561
Nikola Vucevic,4-6 Feet,0.228,272,0.529
Nikola Vucevic,6+ Feet,0.176,210,0.519
Anthony Davis,0-2 Feet,0.228,272,0.515
Anthony Davis,2-4 Feet,0.381,454,0.574
Anthony Davis,4-6 Feet,0.273,326,0.494
Anthony Davis,6+ Feet,0.118,141,0.546
Chris Paul,0-2 Feet,0.059,69,0.442
Chris Paul,2-4 Feet,0.368,429,0.463
Chris Paul,4-6 Feet,0.389,453,0.597
Chris Paul,6+ Feet,0.184,215,0.628
John Wall,0-2 Feet,0.118,136,0.485
John Wall,2-4 Feet,0.358,413,0.446
John Wall,4-6 Feet,0.35,403,0.419
John Wall,6+ Feet,0.174,201,0.624
Tyreke Evans,0-2 Feet,0.259,301,0.382
Tyreke Evans,2-4 Feet,0.414,480,0.494
Tyreke Evans,4-6 Feet,0.182,211,0.528
Tyreke Evans,6+ Feet,0.145,168,0.548
Pau Gasol,0-2 Feet,0.259,297,0.458
Pau Gasol,2-4 Feet,0.358,410,0.51
Pau Gasol,4-6 Feet,0.214,245,0.488
Pau Gasol,6+ Feet,0.169,193,0.562
Blake Griffin,0-2 Feet,0.235,268,0.519
Blake Griffin,2-4 Feet,0.261,297,0.557
Blake Griffin,4-6 Feet,0.182,207,0.483
Blake Griffin,6+ Feet,0.323,368,0.469
Andrew Wiggins,0-2 Feet,0.325,364,0.463
Andrew Wiggins,2-4 Feet,0.368,412,0.414
Andrew Wiggins,4-6 Feet,0.211,236,0.496
Andrew Wiggins,6+ Feet,0.096,107,0.486
Rudy Gay,0-2 Feet,0.235,261,0.439
Rudy Gay,2-4 Feet,0.43,478,0.47
Rudy Gay,4-6 Feet,0.235,261,0.502
Rudy Gay,6+ Feet,0.101,112,0.683
Markieff Morris,0-2 Feet,0.197,216,0.472
Markieff Morris,2-4 Feet,0.385,421,0.496
Markieff Morris,4-6 Feet,0.234,256,0.492
Markieff Morris,6+ Feet,0.184,201,0.5
Gordon Hayward,0-2 Feet,0.153,165,0.385
Gordon Hayward,2-4 Feet,0.293,317,0.481
Gordon Hayward,4-6 Feet,0.348,376,0.5
Gordon Hayward,6+ Feet,0.206,223,0.605
Victor Oladipo,0-2 Feet,0.252,273,0.447
Victor Oladipo,2-4 Feet,0.351,380,0.443
Victor Oladipo,4-6 Feet,0.256,277,0.5
Victor Oladipo,6+ Feet,0.141,153,0.549
Dwyane Wade,0-2 Feet,0.161,170,0.482
Dwyane Wade,2-4 Feet,0.567,597,0.487
Dwyane Wade,4-6 Feet,0.236,248,0.492
Dwyane Wade,6+ Feet,0.036,38,0.421
Marc Gasol,0-2 Feet,0.163,174,0.523
Marc Gasol,2-4 Feet,0.367,392,0.532
Marc Gasol,4-6 Feet,0.276,295,0.498
Marc Gasol,6+ Feet,0.195,208,0.399
DeMarcus Cousins,0-2 Feet,0.309,324,0.435
DeMarcus Cousins,2-4 Feet,0.364,382,0.558
DeMarcus Cousins,4-6 Feet,0.209,219,0.372
DeMarcus Cousins,6+ Feet,0.119,125,0.452
Dirk Nowitzki,0-2 Feet,0.068,72,0.389
Dirk Nowitzki,2-4 Feet,0.396,421,0.461
Dirk Nowitzki,4-6 Feet,0.345,366,0.53
Dirk Nowitzki,6+ Feet,0.191,203,0.606
Eric Bledsoe,0-2 Feet,0.137,142,0.454
Eric Bledsoe,2-4 Feet,0.343,357,0.485
Eric Bledsoe,4-6 Feet,0.34,354,0.449
Eric Bledsoe,6+ Feet,0.18,187,0.602
Kyle Lowry,0-2 Feet,0.152,159,0.497
Kyle Lowry,2-4 Feet,0.42,438,0.427
Kyle Lowry,4-6 Feet,0.3,313,0.479
Kyle Lowry,6+ Feet,0.128,133,0.602
Joe Johnson,0-2 Feet,0.192,194,0.446
Joe Johnson,2-4 Feet,0.336,340,0.507
Joe Johnson,4-6 Feet,0.288,291,0.495
Joe Johnson,6+ Feet,0.185,187,0.548
Avery Bradley,0-2 Feet,0.117,118,0.424
Avery Bradley,2-4 Feet,0.344,347,0.486
Avery Bradley,4-6 Feet,0.361,365,0.477
Avery Bradley,6+ Feet,0.178,180,0.569
Al Jefferson,0-2 Feet,0.282,284,0.465
Al Jefferson,2-4 Feet,0.445,448,0.467
